?§¡§Õ§â,§©§ß§é§ß,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,§¡§Õ§â,§©§ß§é§ß
4CD,0200,4CD,0000,000,0000,000,0000,0000,004,0100
4CD,0200,4CE,0200,4CD,0200,000,04CD,0000,004,0100
4CE,EE1A,4CF,EE1A,4E9,0000,000,001A,0000,004,0100,4E9,0000
4CF,AE17,4D0,AE17,4E7,FFFF,000,0017,FFFF,008,1000
4D0,0740,4D1,0740,4D0,0740,000,04D0,FFFE,009,1001
4D1,0C00,4D2,0C00,7FF,FFFE,7FF,04D1,FFFE,009,1001,7FF,FFFE
4D2,D6A0,6A0,D6A0,7FE,04D3,7FE,D6A0,FFFE,009,1001,7FE,04D3
6A0,AC01,6A1,AC01,7FF,FFFE,7FE,0001,FFFE,009,1001
6A1,F303,6A2,F303,6A1,F303,7FE,06A1,FFFE,009,1001
6A2,7E09,6A3,7E09,6AC,F41D,7FE,0009,FFFE,001,0001
6A3,F201,6A4,F201,6A3,F201,7FE,06A3,FFFE,001,0001
6A4,CE04,6A9,CE04,6A4,06A9,7FE,0004,FFFE,001,0001
6A9,AE02,6AA,AE02,6AC,F41D,7FE,0002,F41D,009,1001
6AA,EC01,6AB,EC01,7FF,F41D,7FE,0001,F41D,009,1001,7FF,F41D
6AB,0A00,4D3,0A00,7FE,04D3,7FF,06AB,F41D,009,1001
4D3,0800,4D4,0800,7FF,F41D,000,04D3,F41D,009,1001
4D4,4E14,4D5,4E14,4E9,0000,000,0014,F41D,008,1000
4D5,EE13,4D6,EE13,4E9,F41D,000,0013,F41D,008,1000,4E9,F41D
4D6,AE11,4D7,AE11,4E8,F060,000,0011,F060,008,1000
4D7,0700,4D8,0700,4D7,0700,000,04D7,F061,008,1000
4D8,0C00,4D9,0C00,7FF,F061,7FF,04D8,F061,008,1000,7FF,F061
4D9,D6A0,6A0,D6A0,7FE,04DA,7FE,D6A0,F061,008,1000,7FE,04DA
6A0,AC01,6A1,AC01,7FF,F061,7FE,0001,F061,008,1000
6A1,F303,6A2,F303,6A1,F303,7FE,06A1,F061,008,1000
6A2,7E09,6A3,7E09,6AC,F41D,7FE,0009,F061,008,1000
6A3,F201,6A5,F201,6A3,F201,7FE,0001,F061,008,1000
6A5,4C01,6A6,4C01,7FF,F061,7FE,0001,E0C2,009,1001
6A6,4C01,6A7,4C01,7FF,F061,7FE,0001,D123,009,1001
6A7,6E05,6A8,6E05,6AD,009F,7FE,0005,D084,009,1001
6A8,CE01,6AA,CE01,6A8,06AA,7FE,0001,D084,009,1001
6AA,EC01,6AB,EC01,7FF,D084,7FE,0001,D084,009,1001,7FF,D084
6AB,0A00,4DA,0A00,7FE,04DA,7FF,06AB,D084,009,1001
4DA,0800,4DB,0800,7FF,D084,000,04DA,D084,009,1001
4DB,0740,4DC,0740,4DB,0740,000,04DB,D083,009,1001
4DC,4E0C,4DD,4E0C,4E9,F41D,000,000C,C4A0,009,1001
4DD,EE0B,4DE,EE0B,4E9,C4A0,000,000B,C4A0,009,1001,4E9,C4A0
4DE,AE07,4DF,AE07,4E6,00FF,000,0007,00FF,001,0001
4DF,0700,4E0,0700,4DF,0700,000,04DF,0100,000,0000
4E0,0C00,4E1,0C00,7FF,0100,7FF,04E0,0100,000,0000,7FF,0100
4E1,D6A0,6A0,D6A0,7FE,04E2,7FE,D6A0,0100,000,0000,7FE,04E2
6A0,AC01,6A1,AC01,7FF,0100,7FE,0001,0100,000,0000
6A1,F303,6A5,F303,6A1,F303,7FE,0003,0100,000,0000
6A5,4C01,6A6,4C01,7FF,0100,7FE,0001,0200,000,0000
6A6,4C01,6A7,4C01,7FF,0100,7FE,0001,0300,000,0000
6A7,6E05,6A8,6E05,6AD,009F,7FE,0005,0261,001,0001
6A8,CE01,6AA,CE01,6A8,06AA,7FE,0001,0261,001,0001
6AA,EC01,6AB,EC01,7FF,0261,7FE,0001,0261,001,0001,7FF,0261
6AB,0A00,4E2,0A00,7FE,04E2,7FF,06AB,0261,001,0001
4E2,0800,4E3,0800,7FF,0261,000,04E2,0261,001,0001
4E3,6E05,4E4,6E05,4E9,C4A0,000,0005,3DC1,000,0000
4E4,EE04,4E5,EE04,4E9,3DC1,000,0004,3DC1,000,0000,4E9,3DC1
4E5,0100,4E6,0100,4E5,0100,000,04E5,3DC1,000,0000
